Name,ID,Respondent,Submission time,Test,Daily phone,Ending,Playtime in minutes,A01 I lose track of time,A02 Things seem to happen automatically,A03 I feel different,A04 I feel scared,A05 The game feels real,"A06 If someone talks to me, I don’t hear them",A07 I get wound up,A08 Time seem to kind of stand still or stop,A09 I feel spaced out,A10 I don’t answer when someone talks to me,A11 I can’t tell that I’m getting tired,A12 Playing seems automatic,A13 My thoughts go fast,A14 I lose track of where I am,A15 I play without thinking about how to play,A16 Playing makes me feel calm,A17 I play longer than I meant to,A18 I really get into the game,A19 I feel like I just can’t stop playing,B01 I could easily follow the sequence of events in the game's story.,B02 The sequence of events in the game made logical sense to me.,B03 The game's objectives were clear to me throughout the gameplay.,B04 I felt like my actions affected the outcome of the game.,B05 I understood the motivation/meaning behind the main contacts messages.,B06 I  had no  unanswered questions about the story after completing the game,B07 I felt that the story reached a complete ending.,B08 All major plot points were resolved by the end of the game.,B09 I was left with a clear understanding of the story's outcome.,B10 The ending of the game felt appropriate for the story told.
1,P2N-4,Anonymous,"May 7, 2025 11:31 AM",Linear,1 iPhone,2 Reset,16,3 Yes,3 Yes,2 Maybe,1 No,3 Yes,3 Yes,3 Yes,3 Yes,1 No,1 No,1 No,3 Yes,3 Yes,1 No,3 Yes,1 No,3 Yes,3 Yes,3 Yes,5,6,5,7,4,2,3,3,3,5
2,P2N-5,Anonymous,"May 7, 2025 12:03 PM",Linear,1 iPhone,3 Backup,15,2 Maybe,3 Yes,2 Maybe,3 Yes,2 Maybe,2 Maybe,3 Yes,2 Maybe,3 Yes,2 Maybe,1 No,3 Yes,3 Yes,2 Maybe,1 No,1 No,2 Maybe,3 Yes,2 Maybe,5,5,5,4,4,1,4,3,3,5
3,P2N-6,Anonymous,"May 7, 2025 12:54 PM",Linear,2 Android,3 Backup,19,3 Yes,2 Maybe,1 No,1 No,2 Maybe,1 No,2 Maybe,1 No,1 No,1 No,1 No,1 No,2 Maybe,3 Yes,3 Yes,3 Yes,3 Yes,2 Maybe,2 Maybe,5,4,4,6,3,3,3,4,4,6
4,P2N-7,Anonymous,"May 7, 2025 1:16 PM",Linear,2 Android,2 Reset,8,2 Maybe,1 No,1 No,1 No,1 No,2 Maybe,1 No,2 Maybe,3 Yes,2 Maybe,3 Yes,1 No,2 Maybe,1 No,3 Yes,1 No,2 Maybe,3 Yes,3 Yes,5,5,3,3,5,1,2,3,2,3
5,P2N-8,Anonymous,"May 7, 2025 1:42 PM",Linear,2 Android,2 Reset,12,3 Yes,3 Yes,1 No,1 No,1 No,1 No,2 Maybe,2 Maybe,1 No,1 No,1 No,3 Yes,1 No,1 No,3 Yes,2 Maybe,1 No,3 Yes,2 Maybe,5,5,6,4,3,3,4,2,3,3
6,P2N-9,Anonymous,"May 7, 2025 2:04 PM",Linear,2 Android,2 Reset,10,2 Maybe,3 Yes,1 No,1 No,2 Maybe,1 No,3 Yes,3 Yes,1 No,1 No,1 No,1 No,3 Yes,1 No,2 Maybe,1 No,1 No,3 Yes,1 No,3,3,3,4,3,1,1,1,1,1
7,P2N-10,Anonymous,"May 9, 2025 12:18 PM",Open,2 Android,3 Backup,9,1 No,1 No,2 Maybe,3 Yes,2 Maybe,1 No,1 No,1 No,1 No,1 No,1 No,3 Yes,3 Yes,1 No,3 Yes,3 Yes,2 Maybe,3 Yes,1 No,5,5,5,5,3,3,4,3,3,3
8,P2N-11,Anonymous,"May 9, 2025 12:35 PM",Open,1 iPhone,1 Aborted,3,3 Yes,1 No,3 Yes,1 No,3 Yes,1 No,1 No,3 Yes,2 Maybe,2 Maybe,2 Maybe,3 Yes,3 Yes,1 No,3 Yes,3 Yes,2 Maybe,3 Yes,2 Maybe,3,5,5,3,4,3,4,2,5,2
9,P2N-12,Anonymous,"May 9, 2025 12:50 PM",Open,2 Android,1 Aborted,4,2 Maybe,3 Yes,1 No,1 No,2 Maybe,2 Maybe,3 Yes,3 Yes,3 Yes,2 Maybe,2 Maybe,3 Yes,3 Yes,2 Maybe,3 Yes,3 Yes,2 Maybe,3 Yes,2 Maybe,4,4,2,2,2,3,4,4,2,3
10,P2N-13,Anonymous,"May 9, 2025 1:10 PM",Open,1 iPhone,3 Backup,10,3 Yes,1 No,2 Maybe,2 Maybe,1 No,1 No,3 Yes,3 Yes,1 No,1 No,2 Maybe,3 Yes,3 Yes,1 No,3 Yes,3 Yes,2 Maybe,3 Yes,2 Maybe,6,7,4,5,6,2,6,5,5,7
11,P2N-14,Anonymous,"May 9, 2025 1:45 PM",Open,1 iPhone,1 Aborted,10,3 Yes,1 No,3 Yes,2 Maybe,3 Yes,1 No,1 No,3 Yes,3 Yes,1 No,3 Yes,1 No,2 Maybe,3 Yes,3 Yes,2 Maybe,3 Yes,3 Yes,2 Maybe,5,4,3,4,3,4,5,5,4,4
12,P2N-15,Anonymous,"May 9, 2025 2:20 PM",Open,1 iPhone,3 Backup,20,3 Yes,1 No,2 Maybe,1 No,3 Yes,1 No,2 Maybe,3 Yes,3 Yes,1 No,1 No,1 No,3 Yes,1 No,1 No,1 No,3 Yes,3 Yes,2 Maybe,3,3,2,5,5,3,5,4,4,5
