"Response number","(Age) How old are you?","(Height) How tall are you (in cm)?","(Birthday) Is your birthday (day of month) on an even or odd date?"
1,24,190,Odd
2,21,188,Odd
3,24,183,Odd
4,22,183,Odd
5,25,192,Even
6,20,182,Even
7,21,176,Even
8,23,185,Odd
9,22,200,Odd
10,20,179,Odd
11,22,186,Even
12,20,183,Odd
13,19,175,Odd
14,21,162,Odd
15,31,172,Odd
16,23,171,Even
17,23,192,Odd
18,22,180,Odd
19,20,188,Odd
20,40,178,Odd
21,22,185,Odd
22,23,167,Odd
23,23,185,Odd
24,21,175,Odd
25,21,179,Even
26,23,189,Odd
27,21,179,Odd
28,21,178,Odd
29,28,181,Odd
30,24,170,Even
31,23,188,Odd
32,21,193,Even
33,19,159,Even
34,23,198,Even
